Timestamp	Corporation	Pilot	Ore Type	Quantity	Volume	Est. Price	Ore TypeID	SolarSystemID
2022.07.29	MUSE LLP	Antarian Duket	Lavish Otavite	1150	11500.0	64779	46296	30000494
2022.07.27	MUSE LLP	Antarian Duket	Lavish Otavite	282	2820.0	15885	46296	30000494
2022.07.27	MUSE LLP	Antarian Duket	Replete Zircon	13522	135220.0	7475502	46306	30000494
2022.07.28	MUSE LLP	Antarian Duket	Replete Zircon	15569	155690.0	8607165	46306	30000494
2022.07.29	MUSE LLP	Antarian Duket	Replete Zircon	39559	395590.0	21869797	46306	30000494
2022.07.31	MUSE LLP	Antarian Duket	Zeolites	7850	78500.0	5773675	45490	30000494
2022.07.31	MUSE LLP	Antarian Duket	Zircon	18639	186390.0	20990123	45503	30000494
2022.07.29	MUSE LLP	Antarian Duket	Zircon	58190	581900.0	65530086	45503	30000494
2022.07.29	MUSE LLP	Antarian Jura Antarian	Lavish Otavite	484	4840.0	27263	46296	30000494
2022.07.31	MUSE LLP	Antarian Jura Antarian	Lavish Sperrylite	4538	45380.0	5785269	46298	30000494
2022.07.31	MUSE LLP	Antarian Jura Antarian	Otavite	56	560.0	1779	45498	30000494
2022.07.27	MUSE LLP	Antarian Jura Antarian	Replete Zircon	13916	139160.0	7693321	46306	30000494
2022.07.28	MUSE LLP	Antarian Jura Antarian	Replete Zircon	15550	155500.0	8596662	46306	30000494
2022.07.29	MUSE LLP	Antarian Jura Antarian	Replete Zircon	40067	400670.0	22150640	46306	30000494
2022.07.28	MUSE LLP	Antarian Jura Antarian	Sperrylite	1876	18760.0	434631	45499	30000494
2022.07.31	MUSE LLP	Antarian Jura Antarian	Zeolites	6776	67760.0	4983748	45490	30000494
2022.07.31	MUSE LLP	Antarian Jura Antarian	Zircon	19522	195220.0	21984505	45503	30000494
2022.07.29	MUSE LLP	Antarian Jura Antarian	Zircon	56679	566790.0	63828489	45503	30000494
2022.07.29	MUSE LLP	Antarian Mosfet Antarian	Lavish Otavite	104	1040.0	5858	46296	30000494
2022.07.31	MUSE LLP	Antarian Mosfet Antarian	Lavish Sperrylite	448	4480.0	571132	46298	30000494
2022.07.31	MUSE LLP	Antarian Mosfet Antarian	Otavite	371	3710.0	11790	45498	30000494
2022.07.28	MUSE LLP	Antarian Mosfet Antarian	Replete Zircon	1583	15830.0	875145	46306	30000494
2022.07.27	MUSE LLP	Antarian Mosfet Antarian	Replete Zircon	1634	16340.0	903340	46306	30000494
2022.07.29	MUSE LLP	Antarian Mosfet Antarian	Replete Zircon	3089	30890.0	1707722	46306	30000494
2022.07.28	MUSE LLP	Antarian Mosfet Antarian	Sperrylite	40	400.0	9267	45499	30000494
2022.07.31	MUSE LLP	Antarian Mosfet Antarian	Zircon	1714	17140.0	1930203	45503	30000494
2022.07.29	MUSE LLP	Antarian Mosfet Antarian	Zircon	4905	49050.0	5523716	45503	30000494
2022.07.28	MUSE LLP	Billy Credit	Replete Zircon	15669	156690.0	8662449	46306	30000494
2022.07.29	MUSE LLP	Billy Credit	Replete Zircon	35580	355800.0	19670047	46306	30000494
2022.07.27	MUSE LLP	Billy Credit	Replete Zircon	44943	449430.0	24846288	46306	30000494
2022.07.29	MUSE LLP	Billy Credit	Zircon	78192	781920.0	88055138	45503	30000494
2022.07.29	MUSE LLP	Clyde Rain	Sperrylite	500	5000.0	115840	45499	30000494
2022.07.31	MUSE LLP	Idan Asanari	Lavish Otavite	49186	491860.0	2770647	46296	30000494
2022.07.31	MUSE LLP	Idan Asanari	Otavite	4572	45720.0	145298	45498	30000494
2022.07.29	MUSE LLP	Idan Asanari	Replete Zircon	11708	117080.0	6472650	46306	30000494
2022.07.28	MUSE LLP	Idan Asanari	Replete Zircon	22860	228600.0	12637922	46306	30000494
2022.07.27	MUSE LLP	Idan Asanari	Replete Zircon	24443	244430.0	13513068	46306	30000494
2022.07.29	MUSE LLP	Idan Asanari	Zircon	102467	1024670.0	115392187	45503	30000494
2022.07.31	MUSE LLP	Idan Asanari	Zircon	18383	183830.0	20701831	45503	30000494
2022.07.28	MUSE LLP	Idan Asanari	Zircon	18888	188880.0	21270532	45503	30000494
2022.07.30	MUSE LLP	Idan Asanari	Zircon	57227	572270.0	64445613	45503	30000494
2022.07.28	MUSE LLP	Janna Drakar	Replete Zircon	16127	161270.0	8915650	46306	30000494
2022.07.29	MUSE LLP	Janna Drakar	Replete Zircon	35909	359090.0	19851931	46306	30000494
2022.07.27	MUSE LLP	Janna Drakar	Replete Zircon	44833	448330.0	24785475	46306	30000494
2022.07.29	MUSE LLP	Janna Drakar	Zircon	77556	775560.0	87338913	45503	30000494
2022.07.29	MUSE LLP	John Harnois	Replete Zircon	8674	86740.0	4795334	46306	30000494
2022.07.29	MUSE LLP	John Harnois	Zircon	18738	187380.0	21101611	45503	30000494
2022.07.31	MUSE LLP	Liam Asanari	Lavish Otavite	48930	489300.0	2756226	46296	30000494
2022.07.31	MUSE LLP	Liam Asanari	Otavite	4572	45720.0	145298	45498	30000494
2022.07.29	MUSE LLP	Liam Asanari	Replete Zircon	21045	210450.0	11634517	46306	30000494
2022.07.27	MUSE LLP	Liam Asanari	Replete Zircon	24609	246090.0	13604839	46306	30000494
2022.07.28	MUSE LLP	Liam Asanari	Replete Zircon	36339	363390.0	20089652	46306	30000494
2022.07.31	MUSE LLP	Liam Asanari	Zircon	19399	193990.0	21845989	45503	30000494
2022.07.28	MUSE LLP	Liam Asanari	Zircon	5093	50930.0	5735431	45503	30000494
2022.07.30	MUSE LLP	Liam Asanari	Zircon	56385	563850.0	63497403	45503	30000494
2022.07.29	MUSE LLP	Liam Asanari	Zircon	88210	882100.0	99336809	45503	30000494
2022.07.27	MUSE LLP	Lilyana Gether	Replete Zircon	300	3000.0	165852	46306	30000494
2022.07.28	MUSE LLP	Magal Asanari	Lavish Sperrylite	18619	186190.0	23736432	46298	30000494
2022.07.28	MUSE LLP	Magal Asanari	Sperrylite	11759	117590.0	2724325	45499	30000494
2022.07.30	MUSE LLP	Magal Asanari	Sperrylite	15830	158300.0	3667494	45499	30000494
2022.07.29	MUSE LLP	Magal Asanari	Sperrylite	70613	706130.0	16359619	45499	30000494
2022.07.31	MUSE LLP	Magal Asanari	Sperrylite	943	9430.0	218474	45499	30000494
2022.07.29	MUSE LLP	Miles Deep Uta	Replete Zircon	8603	86030.0	4756082	46306	30000494
2022.07.29	MUSE LLP	Miles Deep Uta	Zircon	19633	196330.0	22109506	45503	30000494
2022.07.29	MUSE LLP	Miles Long Uta	Replete Zircon	6928	69280.0	3830075	46306	30000494
2022.07.29	MUSE LLP	Miles Long Uta	Zircon	15853	158530.0	17852697	45503	30000494
2022.07.29	MUSE LLP	Reews Drakar	Replete Zircon	18626	186260.0	10297197	46306	30000494
2022.07.27	MUSE LLP	Reews Drakar	Replete Zircon	25264	252640.0	13966949	46306	30000494
2022.07.28	MUSE LLP	Reews Drakar	Replete Zircon	8700	87000.0	4809708	46306	30000494
2022.07.29	MUSE LLP	Reews Drakar	Zircon	36629	366290.0	41249382	45503	30000494
